date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20240404,11816.0,3.58,12196.0,38.43,13156.0,3.88,15,False,False,False,B2,A3,184.92,77.08,34.64,12029.36,137.07,382.3,20.11,0.865,123.6,10376.0,-2.53,12136.0,45.71,13736.0,-2.3,True
20240404,20486.0,6.44,21246.0,66.7,24466.0,6.66,18,False,True,False,B2,A6,182.51,199.08,48.42,20864.24,259.22,1335.71,33.134,0.937,510.21,19736.0,-4.57,21356.0,74.28,24896.0,1.18,True
20240404,19736.0,3.23,20386.0,11.28,23746.0,0.85,18,False,True,False,B1,A1,182.51,28.68,8.81,19979.12,300.96,1228.38,33.134,0.316,92.52,19736.0,-1.34,20946.0,26.85,24896.0,-3.31,True
20240404,29066.0,3.76,29556.0,39.29,30036.0,3.99,11,False,True,False,B2,A3,197.04,39.99,257.99,29510.27,221.3,43.0,25.859,0.874,105.62,28016.0,6.02,29576.0,49.55,30176.0,-3.05,True
20240404,28016.0,0.0,28396.0,7.6,30176.0,1.49,11,False,True,False,B2,sub-A,197.04,13358.86,3.81,28392.7,0.25,1092.24,25.859,0.152,33.85,28016.0,6.02,28796.0,16.58,30176.0,-2.45,True
20240404,31766.0,12.52,31926.0,135.37,32816.0,13.42,10,False,True,True,B3,B1,210.62,507.71,90.8,31843.03,53.08,372.02,43.34,0.951,276.38,30296.0,-14.62,31956.0,137.62,35456.0,-4.46,True
20240404,32256.0,8.68,33336.0,86.08,35456.0,44.98,10,False,True,True,B2,A8,210.62,382.4,55.09,32736.0,346.39,3013.47,43.34,0.962,879.2,30296.0,-14.62,33336.0,93.85,35456.0,40.5,True
20240404,35006.0,1.35,35116.0,12.31,35266.0,1.18,10,False,True,True,B2,A1,210.62,14.86,22.89,35089.55,49.24,40.08,43.34,0.063,9.15,30296.0,-14.62,32846.0,21.59,35456.0,-4.46,True
20240404,30296.0,0.0,30876.0,7.85,30976.0,0.86,10,False,True,True,B2,sub-A,210.62,2135.27,4.54,30869.37,0.08,45.11,43.34,0.007,0.85,30296.0,-14.62,32846.0,21.59,35456.0,-4.47,True
20240404,35576.0,18.28,36776.0,116.13,38126.0,11.6,11,False,True,True,B3,B1,217.81,118.64,690.82,36647.07,612.69,131.88,54.586,0.97,763.58,35576.0,26.27,36796.0,139.35,40136.0,1.78,True
20240404,37306.0,9.39,38266.0,92.11,39766.0,9.26,11,False,True,True,B3,A9,217.81,127.81,124.65,37950.96,392.81,504.76,54.586,0.947,540.08,35576.0,7.99,38216.0,111.41,40136.0,6.23,True
20240404,45166.0,10.75,45276.0,128.3,45566.0,12.33,4,False,True,True,B3,B1,208.86,262.21,114.05,45229.05,39.26,113.13,99.042,0.821,107.33,43256.0,4.08,45256.0,126.68,47456.0,-10.74,True
20240404,43696.0,12.68,44896.0,128.46,46236.0,12.68,4,False,True,True,B3,B1,208.86,142.26,332.82,44662.09,528.37,283.06,99.042,0.954,801.37,43256.0,5.7,45086.0,149.36,47456.0,-10.54,True
20240404,49236.0,0.0,49256.0,24.26,49656.0,2.36,16,False,True,True,B2,A2,202.34,994.84,12.86,49245.91,1.77,171.77,27.639,0.37,19.43,48536.0,-11.88,49266.0,33.6,51226.0,-3.09,True
