date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20240409,84525.0,2.1,85645.0,102.15,86155.0,10.33,3,False,False,True,B3,B1,252.71,129.08,803.76,85374.36,313.62,63.12,99.969,0.84,90.93,82375.0,-4.45,85645.0,146.41,86215.0,-4.28,True
20240409,79665.0,49.64,79875.0,479.82,80535.0,47.82,2,False,True,True,B7,B4,235.99,1122.47,391.65,79774.5,74.69,268.27,110.2,0.99,702.74,76495.0,4.33,79895.0,469.06,82255.0,-2.04,True
20240409,77315.0,2.65,78865.0,26.56,80435.0,2.69,2,False,True,True,B2,A2,235.99,27.1,163.83,78726.88,712.95,147.79,110.2,0.463,145.7,76495.0,4.45,79065.0,55.26,82255.0,-2.12,True
20240409,73065.0,1.94,73145.0,22.97,73645.0,2.31,17,False,True,False,B1,A2,138.08,101.2,14.73,73101.58,24.71,212.7,34.612,0.363,33.37,71625.0,-0.34,73295.0,30.02,76375.0,-0.42,True
20240409,71625.0,115.16,73195.0,126.19,76375.0,89.72,17,False,True,False,B2,B1,138.08,147.04,261.45,71375.0,3298.92,2325.26,34.612,0.747,2244.37,71625.0,114.82,73295.0,144.22,76375.0,89.3,True
20240409,68675.0,3.13,69825.0,30.56,70555.0,26.32,9,False,True,True,B2,A3,241.0,156.93,18.92,69169.47,362.67,3769.88,42.663,0.783,186.49,67855.0,-6.99,69695.0,42.76,70555.0,26.01,True
20240409,68265.0,4.8,69135.0,48.27,70025.0,4.77,9,False,True,True,B2,A4,241.0,49.4,276.54,69052.89,399.66,89.48,42.663,0.876,211.34,67855.0,-6.67,69215.0,64.01,70555.0,-0.17,True
20240409,68145.0,1.71,68595.0,16.32,69065.0,1.61,9,False,True,True,B2,A1,241.0,16.77,85.72,68549.55,209.1,51.28,42.663,0.402,38.67,67855.0,-6.96,68585.0,29.78,70555.0,-0.31,True
20240409,66725.0,31.51,66865.0,293.83,67355.0,29.81,1,False,False,True,B5,B2,231.41,763.3,227.23,66794.07,48.41,203.8,63.229,0.991,339.01,66175.0,3.42,66855.0,290.5,67735.0,-4.97,True
20240409,65215.0,2.34,65335.0,17.27,65455.0,1.64,6,False,False,True,B2,A1,257.75,17.51,137.21,65322.76,56.02,8.96,89.408,0.19,11.3,64615.0,1.62,65345.0,24.11,66055.0,-12.88,True
20240409,6295.0,11.28,7515.0,20.32,9955.0,2.04,19,False,True,True,B2,A2,192.66,20.66,138.21,7317.25,1112.35,208.38,28.462,0.571,174.71,6295.0,10.38,7555.0,29.24,10255.0,-6.55,True
20240409,6295.0,0.0,8895.0,0.65,9725.0,0.06,19,False,True,True,B1,sub-A,192.66,0.65,5.69,8843.39,380.6,54.63,28.462,0.003,-2.61,6295.0,-0.9,6655.0,12.12,10255.0,-7.67,True
20240409,62445.0,8.64,62625.0,88.46,62995.0,8.83,4,False,True,False,B3,A8,226.7,149.74,92.29,62553.65,68.67,139.63,29.133,0.958,107.29,61975.0,-6.28,62645.0,100.86,63575.0,-0.57,True
20240409,61975.0,3.48,62185.0,36.79,62465.0,3.68,4,False,True,False,B2,A3,226.7,46.34,60.54,62126.7,87.43,83.87,29.133,0.804,44.05,61975.0,-2.79,62175.0,42.8,63575.0,-0.71,True
20240409,59445.0,0.77,59695.0,7.56,60655.0,2.11,14,False,True,True,B2,sub-A,237.56,35.26,4.78,59553.23,78.66,726.73,29.812,0.177,24.43,57615.0,0.49,59725.0,16.23,60655.0,-6.21,True
