date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20220807,4.0,0.0,4.0,0.0,4.0,0.0,5,True,True,True,X14236821,sub-A,1423682139913.22,3472826342.44,126957323304.97,67.97,12.03,0.41,2.0260265695860907e+21,-0.0,0.0,4.0,37402450710.22,49.0,99423921175.41,87.0,20643262959.86,True
20220807,4.0,4103.12,87.0,36580.04,87.0,36580.04,5,True,True,True,X14236821,M3,1423682139913.22,902475.52,30361.53,73.13,46.46,1730.82,2.0260265695860907e+21,-0.0,3846.57,4.0,37402454813.34,49.0,99423939188.34,87.0,20643299539.9,True
20220807,205.0,3931.39,300.0,39369.09,351.0,35957.73,14,True,False,True,X14284556,M3,1428455563841.21,274294.54,23075.15,243.74,28.6,426.16,1.756753022504867e+21,-0.013,-1021048.04,88.0,29824343385.35,219.0,101562624635.35,351.0,-22712765989.64,True
20220807,435.0,17101585335.68,503.0,172490059516.86,526.0,132181517109.13,10,True,True,True,X13807743,X1724900,1208284246037.2,176540641267.85,983275125881.2,496.14,31.01,6.98,2.318282711318818e+21,0.615,6392332.49,352.0,148728560749.0,523.0,264598874546.88,526.0,124450007989.51,True
20220807,352.0,79042246924.74,402.0,133571168388.54,509.0,13070676187.06,10,True,True,True,X13418554,X1335711,1208284246037.2,136006980775.21,866704047899.73,393.12,48.36,9.51,2.318282711318818e+21,0.466,8407759.31,352.0,227770807673.73,398.0,228814317523.33,526.0,-1806397100.7,True
20220807,352.0,0.0,419.0,90117597307.58,517.0,9188815381.52,10,True,True,True,X12984018,X901175,1208284246037.2,90993747618.16,805909314938.9,413.07,45.17,6.39,2.318282711318818e+21,0.141,5925741.64,352.0,148728560749.0,398.0,176544458379.95,526.0,-1806280438.68,True
20220807,586.0,3054.78,622.0,29748.26,622.0,29748.26,8,True,True,True,X13788328,M2,1378832796036.65,5792642.19,37546.52,628.3,24.29,4695.95,2.249798428042234e+21,-0.0,6947.13,527.0,-32975358205.48,556.0,123692620016.7,622.0,-98914348461.62,True
20220807,527.0,680361093.21,622.0,6694811193.55,622.0,6694811193.55,8,True,True,True,X13855276,X66948,1378832796036.65,3072423218349.67,54187291414.62,774.48,99.21,7050.21,2.249798428042234e+21,-0.007,218850.59,527.0,-32294997113.41,556.0,125183550799.4,622.0,-92219567016.33,True
20220807,527.0,12040204005.3,622.0,33759543965.79,622.0,33759543965.79,8,True,True,True,X14125923,X337595,1378832796036.65,220179214820.46,26301168575.69,580.51,76.41,801.72,2.2497984280422336e+21,-0.004,1359955.02,527.0,-20935154201.31,556.0,142145145032.8,622.0,-65154834244.1,True
20220807,623.0,0.0,900.0,154030880804.35,2504.0,0.0,21,True,False,True,X15608036,X1540308,1406772798065.63,160045684283.42,1443756092035.64,912.72,119.25,16.57,5.933710757687578e+21,0.379,13132463.31,623.0,11905302520.31,894.0,232804350371.87,2585.0,-120781953339.07,True
20220807,2586.0,206053708.7,2669.0,283745403.99,2669.0,283745403.99,5,True,True,True,X12987364,X2837,1298452684862.49,793491947.22,339770610.95,2646.94,196.51,575.19,1.6682832344190406e+21,-0.0,-23132.5,2586.0,5355298535.95,2665.0,107761158306.09,2669.0,13489691648.95,True
20220807,2594.0,5836044122.18,2631.0,38784699816.39,2669.0,5423122596.6,5,True,True,True,X13372373,X387846,1298452684862.49,39229957063.41,319897086095.03,2627.85,19.04,2.93,1.6682832344190406e+21,0.046,1033131.93,2586.0,5149244827.25,2605.0,123294118677.64,2669.0,18629068841.56,True
20220807,2666.0,0.0,2667.0,48540536309.74,2669.0,48444803626.33,5,True,True,True,X13469932,X485405,1298452684862.49,295282721959163.25,24282173345.5,2666.5,0.07,1013.08,1.6682832344190406e+21,0.046,38846.27,2586.0,5149244827.25,2665.0,107480941296.14,2669.0,61650749871.29,True
20220807,2670.0,0.0,2670.0,0.0,2670.0,0.0,9,True,True,True,X13157146,sub-A,1315714616902.67,10823053032.53,464911715475.07,2840.94,137.8,4.02,2.2409801892142236e+21,-0.0,0.0,2670.0,-66784685262.04,2690.0,151522809855.14,2789.0,4101423136.39,True
20220807,2670.0,0.0,2670.0,0.0,2670.0,0.0,9,True,True,True,X13157146,sub-A,1315714616902.67,74007614280884.53,1240958265732.6,2885.53,10.87,812.28,2.2409801892142236e+21,-0.0,0.0,2670.0,-66784685262.04,2690.0,151522809855.14,2789.0,4101423136.39,True
20220807,2670.0,0.0,2670.0,0.0,2670.0,0.0,9,True,True,True,X13157146,sub-A,1315714616902.67,87732507354663.2,1763268379657.8,2909.28,13.49,840.94,2.2409801892142236e+21,-0.0,0.0,2670.0,-66784685262.04,2690.0,151522809855.14,2789.0,4101423136.39,True
20220807,2670.0,0.0,2670.0,0.0,2670.0,0.0,9,True,True,True,X13157146,sub-A,1315714616902.67,550761887949.24,3003165593800.14,2913.7,16.07,3.69,2.2409801892142236e+21,-0.0,0.0,2670.0,-66784685262.04,2690.0,151522809855.14,2789.0,4101423136.39,True
20220807,2944.0,3474.06,3013.0,34460.96,3113.0,32054.83,19,True,True,True,X13016353,M3,1301635360114.74,1040683.94,17943.45,2967.03,17.77,1291.53,1.846695370500937e+21,-0.002,-1164139.07,2790.0,39026483698.16,2867.0,114822901704.29,3113.0,-11887294674.67,True
20220807,2843.0,2275303542.64,2892.0,22492347494.21,3113.0,5296040387.56,19,True,True,True,X13241277,X224923,1301635360114.74,107607843922.58,14144199956.55,2864.36,15.51,147.92,1.846695370500937e+21,0.038,1359065.09,2790.0,39026506456.63,2867.0,129523992696.95,3113.0,-6591286341.94,True
20220807,2790.0,80442998.94,2862.0,740882376.7,3113.0,480308234.86,19,True,True,True,X13023762,X7408,1301635360114.74,8917072197.35,407295991.28,2816.16,20.45,561.22,1.846695370500937e+21,-0.002,-348223.79,2790.0,39106926697.1,2867.0,115562108462.91,3113.0,-11407018494.64,True
20220807,3114.0,0.0,3114.0,0.0,3114.0,0.0,3,True,True,True,X12889886,sub-A,1288988692469.81,13149854308.06,496425649835.57,3158.45,13.72,0.46,1.5574669975255696e+21,-0.0,0.0,3114.0,15857498935.47,3136.0,120325882620.82,3185.0,-96478479350.19,True
20220807,3160.0,4070.48,3185.0,40786.62,3185.0,40786.62,3,True,True,True,X12889887,M4,1288988692469.81,2556676.66,74868.53,3196.19,18.85,806.79,1.5574669975255696e+21,-0.0,97375.16,3114.0,15857498936.44,3136.0,120325882725.5,3185.0,-96478438563.56,True
20220807,3300.0,6188.74,3359.0,64374.98,3485.0,46692.21,18,True,True,True,X12792401,M6,1279240069376.86,626540.99,36137.13,3323.08,17.01,369.72,1.532343876793918e+21,-0.001,-675277.4,3186.0,-56407352108.25,3238.0,95899576546.45,3485.0,7272130417.34,True
20220807,3186.0,2611732320.23,3485.0,2979351946.25,3485.0,2979351946.25,18,True,True,True,X12822194,X29793,1279240069376.86,5569105537.22,3249078897.4,3003.93,898.61,1930.45,1.5323438767939183e+21,-0.001,286606.2,3186.0,-53795619788.02,3238.0,98585969211.67,3485.0,10251435671.39,True
