date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20220806,72895.0,89.31,73135.0,91.87,75655.0,27.09,3,False,False,True,B3,A9,223.48,93.53,708.13,73043.33,1491.43,246.9,64.269,0.884,257.44,72895.0,91.56,72975.0,104.13,75655.0,28.63,True
20220806,67745.0,12.48,68375.0,124.03,69135.0,106.2,3,False,False,True,B4,B1,312.24,1337.39,68.89,67985.09,180.97,4403.22,123.268,0.964,506.1,65335.0,-16.21,68415.0,148.15,69135.0,99.32,True
20220806,54445.0,6.4,54575.0,70.97,54975.0,16.56,4,False,False,True,B3,A7,290.01,238.33,49.31,54508.32,42.85,259.56,54.929,0.91,83.17,53535.0,0.79,54555.0,74.59,54975.0,9.49,True
20220806,47455.0,3.53,47905.0,35.13,47905.0,35.13,1,False,False,False,B3,A3,294.39,416.17,20.67,47686.36,170.22,4294.62,44.384,0.711,34.69,47455.0,6.5,47885.0,41.85,47905.0,37.86,True
20220806,46765.0,8.08,46935.0,91.48,47335.0,23.64,2,False,True,False,B3,A9,266.39,256.83,68.14,46852.28,57.59,272.06,36.104,0.965,123.29,46455.0,-3.14,46935.0,94.35,47335.0,25.68,True
20220806,46455.0,3.35,46695.0,30.02,47335.0,3.59,2,False,True,False,B2,A3,266.39,63.16,26.16,46586.1,90.49,273.87,36.104,0.685,55.84,46455.0,0.22,46755.0,51.81,47335.0,5.63,True
20220806,36525.0,7.77,37035.0,79.69,39385.0,1.95,7,False,True,True,B3,A7,268.59,176.83,67.09,36800.89,182.89,604.13,83.541,0.923,259.14,36295.0,3.03,36965.0,91.92,40255.0,-23.65,True
20220806,36295.0,6.43,37745.0,54.63,39795.0,5.44,7,False,True,True,B3,A5,268.59,58.42,393.48,37860.35,807.13,150.19,83.541,0.819,182.86,36295.0,9.11,37695.0,65.69,40255.0,-22.71,True
20220806,29345.0,7.31,30665.0,73.66,32615.0,7.38,7,False,True,True,B3,A7,280.83,81.76,510.42,30831.52,733.45,147.24,90.748,0.866,210.98,29215.0,-10.67,30605.0,91.05,33055.0,-12.44,True
20220806,29335.0,2.64,29655.0,25.17,30005.0,2.39,7,False,True,True,B3,A2,280.83,27.66,68.15,29589.67,140.83,71.64,90.748,0.452,39.3,29215.0,-15.25,29705.0,50.54,33055.0,-14.2,True
20220806,29215.0,55.33,29365.0,56.24,32305.0,0.09,7,False,True,True,B3,A5,280.83,56.79,498.49,29249.25,807.41,115.29,90.748,0.874,241.77,29215.0,39.75,29705.0,78.38,33055.0,-14.2,True
20220806,22735.0,0.0,25235.0,228.69,26055.0,23.37,1,False,False,True,B5,B2,276.5,264.17,1979.17,24908.89,478.33,80.02,416.122,0.92,293.34,22735.0,-17.07,25235.0,285.21,26675.0,-11.19,True
20220806,2215.0,1.32,2295.0,16.39,2345.0,4.45,3,False,True,True,B3,A1,298.6,16.94,95.17,2283.2,32.87,7.33,55.929,0.155,5.61,1255.0,15.21,2265.0,22.3,2345.0,-2.54,True
20220806,1715.0,6.24,1955.0,66.33,2195.0,7.15,3,False,True,True,B3,A6,298.6,69.88,247.07,1919.39,106.12,37.62,55.929,0.894,70.78,1255.0,15.21,1995.0,77.6,2345.0,-6.7,True
