date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20220811,526.0,87629.29,595.0,240410.05,595.0,240410.05,5,True,True,True,X2,X2,42552.83,1060327.54,317352.19,604.93,77.93,326.35,2.995160445174945e+23,-0.116,16120001.87,526.0,626462898918.79,529.0,641380202668.07,595.0,-1131756788631.22,True
20220811,526.0,0.0,526.0,0.0,526.0,0.0,5,True,True,True,M4,sub-A,42552.83,9240481992589.09,384738747389.01,712.67,14.05,423.04,2.995160445174945e+23,-0.116,0.0,526.0,626462811289.5,529.0,641380109917.7,595.0,-1131757029041.27,True
20220811,526.0,585229807551.82,595.0,2329280916000.26,595.0,2329280916000.26,5,True,True,True,X23292809,X23292809,42552.83,12003969794796.84,3487043489712.44,613.45,66.16,285.43,2.995160445174945e+23,-230.319,74950039.19,526.0,1211692618841.32,529.0,1274464464306.17,595.0,1197523886958.99,True
20220811,596.0,1161310903736.6,642.0,1183715025351.36,691.0,1158227260343.26,7,True,False,True,X11843092,X11837150,594212665.02,1212866553709.29,6582753097496.74,591.25,229.73,53.05,1.3019449327016715e+21,0.04,102963810.13,596.0,1180443995342.8,639.0,1283971461163.11,691.0,1114626978741.23,True
20220811,692.0,21186800611.67,785.0,30234273267.4,1003.0,4264971578.41,17,True,False,True,X11837844,X302342,1153550160541.14,30545830624.46,262164045393.43,769.02,109.0,15.92,1.2027957935133633e+21,0.057,3984733.41,692.0,15450571880.73,773.0,106788950786.98,1003.0,36718516216.67,True
20220811,1004.0,1137115683322.24,1004.0,1137115683322.24,1099.0,1133287108073.07,5,True,False,True,X11629177,X11371156,25802094393.4,2148921915996564.5,569596663158.63,952.58,5.96,28168.19,1.4654530789667863e+21,0.001,99029197.37,1004.0,1128593657559.72,1052.0,1250365752286.28,1099.0,1031086455411.28,True
20220811,1149.0,3697630900.12,1150.0,56931485311.14,1170.0,5563442274.94,11,True,True,True,X12235808,X569314,1166649392143.57,1636653361747.11,31222847803.69,1149.2,0.13,8.6,1.11261711516347e+21,0.062,357817.95,1100.0,31463644965.8,1234.0,87878928168.93,1291.0,-28420510307.63,True
20220811,1100.0,0.0,1100.0,0.0,1100.0,0.0,11,True,True,True,X11666493,sub-A,1166649392143.57,1761799161.36,52517788015.76,1227.86,19.57,0.82,1.11261711516347e+21,-0.0,0.0,1100.0,31463644965.8,1234.0,87875667437.61,1291.0,-28420514620.73,True
20220811,1292.0,28226997729.02,1337.0,74837734878.12,1406.0,7699171195.81,11,True,True,True,X11803316,X748377,1105493920323.16,76275605443.53,472676616501.44,1330.7,31.63,6.4,1.4813678979650662e+21,0.33,3591901.5,1292.0,-72313622471.6,1319.0,144639136317.46,1447.0,-27742693175.66,True
20220811,1375.0,5096287934.44,1390.0,43268090517.28,1447.0,38788689844.68,11,True,True,True,X11487620,X432680,1105493920323.16,2481027881770.65,22127104465.99,1379.37,3.65,512.94,1.4813678979650662e+21,0.212,1893648.4,1292.0,-100540620200.62,1402.0,105538349829.66,1447.0,10794908693.9,True
20220811,1448.0,0.0,1481.0,17336892072.81,1522.0,1775355987.82,13,True,True,True,X11405570,X173368,1123220137157.09,17507172206.43,155130495750.73,1478.02,19.13,2.71,1.4621809698828444e+21,0.025,516490.03,1448.0,-29809123374.08,1599.0,117450074604.01,1639.0,-24608130546.48,True
20220811,1584.0,90954232.53,1603.0,937860117.95,1639.0,863523251.9,13,True,True,True,X11241579,X9378,1123220137157.09,35220439047.66,484809481.88,1590.09,4.63,421.83,1.4621809698828444e+21,-0.001,-50286.3,1448.0,-29809123374.08,1599.0,118372956281.19,1639.0,-23744607294.57,True
20220811,1448.0,1077814475.77,1448.0,1077814475.77,1496.0,108397474.7,13,True,True,True,X11242979,X10778,1123220137157.09,1014963303.52,11106058850.67,1434.07,27.64,3.17,1.4621809698828444e+21,-0.0,-41954.53,1448.0,-28731308898.3,1599.0,117450074462.96,1639.0,-24608130546.47,True
20220811,1448.0,10118593616.22,1535.0,22483971974.3,1639.0,8940241621.85,13,True,True,True,X11457041,X224839,1123220137157.09,26433029190.33,45134644627.76,1499.66,62.82,46.11,1.4621809698828441e+21,0.017,2111426.47,1448.0,-19690529757.86,1599.0,132984544200.03,1639.0,-15667888924.62,True
20220811,1640.0,0.0,1784.0,0.0,1787.0,0.0,9,True,True,True,X11318571,sub-A,1131857115096.82,309738806.44,6725614811.2,1684.02,11.07,0.64,1.5470451888048678e+21,-0.0,194056.16,1640.0,33686586075.06,1674.0,116860292129.74,1807.0,-6151723534.55,True
20220811,1733.0,7954.09,1758.0,74637.66,1807.0,52773.67,9,True,True,True,X11318571,M7,1131857115096.82,624776.73,42654.87,1742.53,7.29,133.83,1.5470451888048678e+21,-0.0,-381214.9,1640.0,33686586075.06,1674.0,116860292129.74,1807.0,-6151670760.88,True
20220811,1640.0,0.0,1640.0,0.0,1640.0,0.0,9,True,True,True,X11318571,sub-A,1131857115096.82,7228350062.84,125968103911.51,1734.29,42.16,3.03,1.5470451888048678e+21,-0.0,0.0,1640.0,33686586075.06,1674.0,116860292129.74,1807.0,-6151723534.55,True
20220811,1877.0,9484727.72,1965.0,95350868.31,2071.0,12994713.06,18,True,True,True,X11040702,X953,1103974889969.71,119895397.04,157591834.49,1940.01,36.8,35.09,1.646098702799813e+21,-0.001,-1037893.99,1808.0,11536950679.77,1916.0,108285724019.32,2071.0,31871644351.86,True
20220811,1991.0,3881.23,2035.0,38277.75,2071.0,17679.93,18,True,True,True,X11039749,M3,1103974889969.71,60329.74,43204.44,2018.39,17.24,30.18,1.646098702799813e+21,-0.001,-827785.29,1808.0,11536908852.14,1916.0,108237586104.82,2071.0,31858667318.72,True
20220811,1848.0,1008.15,1980.0,9899.56,2071.0,5615.69,18,True,True,True,X11039748,C9,1103974889969.71,16045.24,10816.86,1929.21,51.54,95.82,1.646098702799813e+21,-0.001,-597176.27,1808.0,11536909022.96,1916.0,108237592232.97,2071.0,31858655254.48,True
20220811,2072.0,0.0,3598.0,348886273908.06,3753.0,78148119209.47,19,True,True,True,X14378145,X3488862,1088928264211.67,983437983822.19,259434806573.68,3568.4,20.29,96.39,2.3121078430622676e+21,0.847,19202646.81,2072.0,19479782361.7,3603.0,550504878123.36,3753.0,-9687956684.29,True
20220811,2149.0,4956930643.72,2226.0,48482609679.56,3598.0,244978649.67,19,True,True,True,X11374108,X484826,1088928264211.67,254188780088.71,29888759583.45,2181.9,24.15,257.4,2.3121078430622676e+21,0.09,1558195.67,2072.0,19479938913.33,3603.0,205244519008.34,3753.0,-87701921992.35,True
20220811,3628.0,7387700084.2,3654.0,78283327824.18,3753.0,53424279723.7,19,True,True,True,X11672115,X782833,1088928264211.67,1227224700395.85,42159488268.85,3637.36,6.94,253.2,2.3121078430622676e+21,0.304,5201376.09,2072.0,19479782361.7,3603.0,205004284208.82,3753.0,-34411796170.06,True
20220811,3611.0,17422104556.82,3753.0,173535365292.82,3753.0,173535365292.82,19,True,True,True,X12624636,X1735353,1088928264211.67,177138874975.1,1054136583001.5,3740.31,65.47,13.79,2.3121078430622676e+21,0.611,9044741.02,2072.0,19479782361.7,3740.0,267111726892.1,3753.0,85699289399.06,True
20220811,3754.0,0.0,3809.0,23153257839.88,3894.0,2302847509.9,12,True,True,True,X14126748,X231532,1389521616853.95,23369145975.81,211441010019.42,3803.83,39.06,5.41,2.2359698721565086e+21,0.053,1521968.2,3754.0,58710310634.34,3788.0,173625582732.47,3921.0,-12661315679.67,True
20220811,3754.0,6105.46,3895.0,51882.96,3921.0,50388.21,12,True,True,True,X13895216,M5,1389521616853.95,179357.81,35691.17,3818.53,48.55,305.8,2.2359698721565086e+21,-0.0,-1256.35,3754.0,58710316739.8,3788.0,153543538667.93,3921.0,-13084015281.67,True
20220811,3922.0,823538454160.3,3968.0,862758504577.84,4053.0,767829416851.32,9,True,True,True,X13813605,X8627585,518602089690.19,1834768009038.63,746335336564.87,3845.46,99.38,306.22,2.8999989895337864e+21,0.336,79058489.32,3922.0,847359824372.31,4006.0,960242026520.74,4053.0,735635032668.66,True
20220811,3922.0,0.0,3922.0,0.0,3922.0,0.0,9,True,True,True,X5186020,sub-A,518602089690.19,824641510766643.6,2986123259546.09,4153.03,0.94,326.17,2.8999989895337864e+21,-0.053,0.0,3922.0,23821370212.01,4006.0,120455044403.65,4053.0,-32194384182.66,True
