date,post_fit_start_time,post_fit_start_count,post_fit_peak_time,post_fit_peak_count,post_fit_end_time,post_fit_end_count,complex_region,active_region,multi_flare_region_flag,multi_flare_unresolved_flag,flare_class_with_bg,flare_class_without_bg,mean_background,flare amplitude,fit_param_Aprime,fit_param_mu,fit_param_sigma,fit_param_tau,redchisq,rsquared,snr,pre_fit_start_time,pre_fit_start_count,pre_fit_peak_time,pre_fit_peak_count,pre_fit_end_time,pre_fit_end_count,flag
20220831,9873.0,36074.62,9879.0,500009.83,10238.0,260018.63,23,True,True,True,X58915404,X5,5891539922219.54,81239040.63,252236.69,9874.99,1.36,547.73,3.3216781955869088e+22,-0.12,-24577778.79,9243.0,148084101217.96,9450.0,418181650889.79,10238.0,-245060642347.13,True
20220831,9508.0,445156172.72,9559.0,4346216835.59,9629.0,435871129.21,23,True,True,True,X58958861,X43462,5891539922219.54,5589852847.35,6815745422.7,9543.68,21.2,21.79,3.3216781955869088e+22,-0.118,728223.45,9243.0,148084101217.96,9450.0,418181707243.02,10238.0,-245060902365.76,True
20220831,9419.0,2845894888.19,9480.0,28477990111.59,9916.0,2845526117.71,23,True,True,True,X59200179,X284779,5891539922219.54,136406565521.73,17903227715.95,9445.84,19.4,185.26,3.3216781955869088e+22,-0.088,-230581.21,9243.0,148084101217.96,9450.0,437324279239.73,10238.0,-244560502849.86,True
20220831,9023.0,359299295.03,9100.0,3668428888.3,9242.0,1988147268.42,5,True,True,True,X60938111,X36684,6090142739556.53,16028955850.68,2357668663.41,9057.84,24.83,211.56,8.109383572216101e+21,0.0,225272.59,9015.0,-203255532525.28,9072.0,270838217474.72,9242.0,-142050454633.43,True
20220831,9015.0,0.0,9157.0,3708.26,9235.0,360.2,5,True,True,True,X60901427,C3,6090142739556.53,3742.72,33946.41,9151.98,35.8,4.95,8.109383572216101e+21,-0.0,194250.25,9015.0,-203445526280.34,9072.0,267842084460.37,9242.0,-144038601668.7,True
20220831,8847.0,0.0,8919.0,12357623179.07,8973.0,1256644032.14,2,True,False,True,X61506636,X123576,6138306026072.62,12487488366.58,107037174547.71,8915.94,24.72,3.61,7.200260465103261e+21,0.004,399863.72,8847.0,-15060420603.87,8924.0,213334110646.13,9014.0,6492313771.13,True
20220831,8691.0,11017375006.71,8767.0,43331856835.26,8846.0,9710501494.1,6,True,False,True,X61661109,X433318,6122779096009.58,43961522197.05,315939466697.7,8758.94,45.14,7.87,8.104738189669207e+21,0.013,1311864.11,8691.0,119292193052.92,8805.0,285308306334.17,8846.0,-93550580384.58,True
20220831,86332.0,42025085490.24,86387.0,415091764193.36,86387.0,415091764193.36,4,True,True,True,X23562575,X4150917,1941165739344.54,745445726275.68,666282865823.27,86386.17,31.12,43.64,2.699181218581558e+21,0.858,5277512.13,86288.0,12427234199.39,86387.0,493783542525.51,86387.0,493783542525.51,True
20220831,86288.0,56837975004.11,86338.0,158407741759.2,86387.0,58771542426.96,4,True,True,True,X20995734,X1584077,1941165739344.54,160260184878.37,1288235319358.22,86332.62,34.43,5.37,2.6991812185815583e+21,0.266,5777644.04,86288.0,68369627229.59,86328.0,233962407972.22,86387.0,137463320759.1,True
20220831,86288.0,191195028014.45,86292.0,192070340739.06,86376.0,18980374240.57,4,True,True,True,X21332360,X1920703,1941165739344.54,194376127979.93,1542376854162.65,86285.78,38.59,6.1,2.699181218581558e+21,0.606,4858640.08,86288.0,202726680239.92,86307.0,277286847541.48,86387.0,88694830988.27,True
20220831,86288.0,0.0,86288.0,0.0,86288.0,0.0,4,True,True,True,X19411657,sub-A,1941165739344.54,104094181222.09,1499874260588.77,86313.36,28.82,2.51,2.6991812185815583e+21,-0.0,0.0,86288.0,11531652225.47,86307.0,99325409754.98,86387.0,78691778332.15,True
20220831,86228.0,4676.5,86287.0,47012.74,86287.0,47012.74,4,True,True,True,X18909952,M4,1890995232018.73,783128.25,133635.86,86330.02,48.85,358.75,2.741911917448577e+21,-0.0,47071.88,86204.0,28616069753.7,86270.0,155666212469.55,86287.0,-29871512974.85,True
20220831,86204.0,98601171954.19,86204.0,98601171954.19,86219.0,10481741853.57,4,True,True,True,X19895964,X986011,1890995232018.73,670035237505.95,509338506577.21,86187.14,4.06,6.69,2.741911917448577e+21,0.121,312843.88,86204.0,127217240442.39,86270.0,155671318580.8,86287.0,-29871155335.23,True
20220831,86204.0,244111950407.87,86248.0,306598539765.53,86287.0,260773539649.71,4,True,True,True,X21975937,X3065985,1890995232018.73,344880591400.74,734487695345.44,86219.08,60.58,35.65,2.7419119174485766e+21,0.099,11829423.86,86204.0,272728018896.07,86270.0,446947257118.86,86287.0,230901979662.12,True
20220831,86204.0,24249062193.65,86282.0,52335055242.28,86287.0,52224406966.55,4,True,True,True,X19433302,X523350,1890995232018.73,92533728584.11,52328323810.2,86229.69,49.3,109.25,2.741911917448577e+21,0.028,1799473.11,86204.0,52865130681.85,86270.0,207182890298.02,86287.0,22352846978.97,True
20220831,86152.0,19452723439.8,86203.0,188070205837.46,86203.0,188070205837.46,7,True,True,True,X20508884,X1880702,1862818244116.91,1075742800243.79,172525305050.53,86195.24,27.74,216.75,3.0922877467883754e+21,0.501,2345319.46,86084.0,54563159390.86,86193.0,230911088344.62,86203.0,196457709937.44,True
20220831,8615.0,97329974493.89,8690.0,999646698539.7,8690.0,999646698539.7,7,True,True,True,X53084424,X9996466,4308795721834.85,1319480800275.78,1926702636225.42,8683.11,38.24,32.82,8.293753865055849e+21,0.9,12369000.07,8427.0,-35412568808.38,8690.0,1122470147362.91,8690.0,1122470147362.91,True
20220831,86084.0,325455510554.74,86113.0,367800661242.36,86203.0,200949859782.63,7,True,True,True,X22306189,X3678006,1862818244116.91,688673383809.0,349688762548.87,86065.93,41.84,103.28,3.0922877467883754e+21,0.475,18333398.11,86084.0,380008515976.02,86127.0,521295205174.84,86203.0,209337363882.61,True
20220831,86084.0,0.0,86148.0,71625334592.78,86186.0,7225135978.15,7,True,True,True,X19344435,X716253,1862818244116.91,72201443419.0,689649982115.04,86146.12,17.4,2.28,3.0922877467883754e+21,0.196,1134242.08,86084.0,54553005421.29,86142.0,171117463855.87,86203.0,8963448075.51,True
20220831,85952.0,2170575362415.9,85993.0,2245999932373.23,86083.0,2232132899816.16,7,True,False,True,X22467755,X22459999,775623490.99,431622282420787.44,1131314696679.08,85902.2,27.86,13321.32,2.732795719562617e+21,0.064,195773532.04,85952.0,2126714366743.39,85982.0,2373037608930.89,86083.0,2303067882368.39,True
20220831,8551.0,44655763563.89,8628.0,455848883063.46,8690.0,106309039603.31,7,True,True,True,X47646446,X4558488,4308795721834.85,463765886937.93,3034827492199.14,8621.77,35.41,6.78,8.293753865055849e+21,0.769,12896334.97,8427.0,-35412568843.47,8616.0,625128547049.56,8690.0,229132488426.51,True
20220831,85210.0,3565.7,85219.0,38344.62,85219.0,38344.62,8,True,True,True,X17337770,M3,1733777016186.85,5888895342358.82,1344876821789.51,85343.09,22.38,122.82,1.973978336387209e+21,-0.0,-85085.38,85076.0,-29356238496.72,85158.0,95448025805.68,85219.0,-18281396640.09,True
20220831,85197.0,0.0,85198.0,46302.76,85219.0,43565.89,8,True,True,True,X17337770,M4,1733777016186.85,344365269.09,23209.82,85197.13,0.02,344.67,1.973978336387209e+21,-0.0,-144087.3,85076.0,-29356238496.72,85158.0,95448025805.68,85219.0,-18281391418.82,True
20220831,85108.0,1214361946.56,85133.0,12556305887.71,85219.0,11845583051.95,8,True,True,True,X17463333,X125563,1733777016186.85,1253835507432.99,6363613064.95,85115.62,5.83,1439.88,1.973978336387209e+21,0.01,632166.84,85076.0,-29356238496.65,85158.0,107806223379.3,85219.0,-6435851932.77,True
20220831,85076.0,220814940083.24,85184.0,236943579121.23,85219.0,235378358327.58,8,True,True,True,X19707205,X2369435,1733777016186.85,354215103944.43,286160404186.27,84981.4,226.31,351.1,1.9739783363872088e+21,0.004,17265020.96,85076.0,191458701586.52,85158.0,331450723739.52,85219.0,217096923342.87,True
20220831,84992.0,847319241773.86,85075.0,974578138992.49,85075.0,974578138992.49,4,True,True,True,X9745824,X9745781,4280440.05,2956558115358.65,703228522877.8,84930.26,100.19,527.93,1.928541355942955e+21,0.43,80053282.0,84992.0,847640399681.16,85020.0,1039991348852.89,85075.0,928804016024.78,True
20220831,84992.0,579805402479.46,84992.0,579805402479.46,85075.0,240444777848.69,4,True,True,True,X5798096,X5798054,4280440.05,861708763134.84,2320906389707.11,84868.43,97.54,45.39,1.928541355942955e+21,0.84,52358486.72,84992.0,580126560386.76,84999.0,650285177657.54,85075.0,194670654880.99,True
20220831,84992.0,521051260172.77,85075.0,741269630764.6,85075.0,741269630764.6,4,True,True,True,X7412739,X7412696,4280440.05,880592673581.27,2913498377149.36,85100.92,163.16,61.81,1.928541355942955e+21,0.687,66093115.41,84992.0,521372418080.07,85066.0,781528573495.65,85075.0,695495507796.9,True
20220831,84992.0,0.0,84992.0,0.0,84992.0,0.0,4,True,True,True,X42,sub-A,4280440.05,53985644316.13,926376393111.27,85155.92,68.23,4.98,1.928541355942955e+21,-0.0,0.0,84992.0,321157907.3,85020.0,121941471547.46,85075.0,-45774122967.71,True
20220831,84850.0,18193.61,84977.0,180132.13,84991.0,178361.65,14,True,True,True,X18180680,X1,1818067840652.74,844474.42,113804.2,84905.79,40.44,376.13,6.131775681249089e+21,-0.032,-3522180.47,84776.0,67763418291.65,84803.0,211063233514.34,84991.0,-133733056937.49,True
20220831,84794.0,775150389.43,84813.0,6688117534.62,84991.0,4341188004.63,14,True,True,True,X18247559,X66881,1818067840652.74,232575781820.25,3465343898.09,84799.89,4.86,408.45,6.131775681249089e+21,-0.036,-1674716.9,84776.0,67763421132.53,84803.0,216119357736.63,84991.0,-129392047294.51,True
20220831,84776.0,121463171661.2,84991.0,260635673787.93,84991.0,260635673787.93,14,True,True,True,X20787035,X2606356,1818067840652.74,908335679632.25,194320602524.0,84839.7,164.3,962.53,6.131775681249089e+21,-1.173,20323215.14,84776.0,189226589805.59,84803.0,353124811993.07,84991.0,126902438488.79,True
20220831,84776.0,0.0,84776.0,0.0,84776.0,0.0,14,True,True,True,X18180678,sub-A,1818067840652.74,196422785945310.4,248384932265.84,85053.22,1.06,1049.54,6.131775681249089e+21,-0.032,0.0,84776.0,67763418144.38,84803.0,211063232299.95,84991.0,-133733235299.14,True
20220831,84746.0,134732513.48,84763.0,1323310782.6,84775.0,1291241995.3,2,True,True,True,X20182862,X13233,2016962902790.39,54217598337.09,682244830.23,84751.5,4.27,425.6,3.8494285368699795e+22,-0.889,-3135480.25,84728.0,-30222546345.08,84732.0,63532458537.74,84775.0,-265855221017.22,True
20220831,84728.0,0.0,84751.0,434157460453.85,84761.0,159310904219.16,2,True,True,True,X24511203,X4341574,2016962902790.39,244865720172.51,2656521921958.26,84725.67,86.34,9.97,3.8494285368699795e+22,-18.277,-17107.1,84728.0,-30222546371.17,84759.0,109231253387.29,84775.0,-32272821543.5,True
20220831,84639.0,9519.96,84724.0,96465.85,84727.0,96219.35,10,True,True,True,X19924467,M9,1992446622832.07,172610.52,95405.8,84689.01,32.08,72.75,2.301858800849501e+21,-0.0,76694.07,84560.0,19763052993.33,84643.0,113123657310.53,84727.0,36465421107.37,True
20220831,84560.0,3815226518.35,84664.0,31731977185.98,84727.0,17227360357.43,10,True,True,True,X20241786,X317319,1992446622832.07,38935131322.04,55873876326.94,84634.65,45.7,39.91,2.301858800849501e+21,0.032,1746376.84,84560.0,23578279506.65,84643.0,142450093653.55,84727.0,53692685245.45,True
20220831,84560.0,0.0,84560.0,0.0,84560.0,0.0,10,True,True,True,X19924466,sub-A,1992446622832.07,58739051982.3,925136477351.87,84689.69,31.89,2.54,2.301858800849501e+21,-0.0,0.0,84560.0,19763052988.31,84643.0,113123645280.53,84727.0,36465324888.02,True
20220831,84560.0,0.0,84560.0,0.0,84560.0,0.0,10,True,True,True,X19924466,sub-A,1992446622832.07,21745211250.78,716534285101.75,84659.63,26.14,0.99,2.301858800849501e+21,-0.0,0.0,84560.0,19763052988.31,84643.0,113123645280.53,84727.0,36465324888.02,True
20220831,84363.0,1804455585.91,84441.0,17854340391.23,84522.0,1827367009.8,15,True,True,True,X20313120,X178543,2013457703733.41,18682409897.34,71659210269.96,84430.59,35.46,11.59,2.74240254382141e+21,0.005,690272.91,84284.0,54103250850.63,84382.0,170909251639.34,84559.0,-19962345722.16,True
20220831,84352.0,4302.35,84406.0,43874.67,84463.0,4454.31,15,True,True,True,X20134577,M4,2013457703733.41,47581.66,128936.97,84396.08,23.71,10.97,2.74240254382141e+21,-0.0,-424472.64,84284.0,54101730332.6,84382.0,166086230034.35,84559.0,-20132171619.46,True
